id;artist;song;duration_sec;explicit;year;genre;popularity;;;;;;;;
70;Santana;Maria Maria (feat. The Product G&B);262;FALSE;1999;rock, blues, latin;66;;;;;;;;
71;Kandi;Don't Think I'm Not;244;FALSE;2000;pop, R&B;55;;;;;;;;
72;P!nk;There You Go;203;FALSE;2000;pop;55;;;;;;;;
73;Vengaboys;Shalala Lala;215;FALSE;2000;pop;58;;;;;;;;
74;Ronan Keating;Life Is A Rollercoaster;235;FALSE;2000;pop, rock;59;;;;;;;;
75;Madison Avenue;Don't Call Me Baby;228;FALSE;1999;Dance/Electronic;56;;;;;;;;
76;Destiny's Child;Jumpin', Jumpin';230;FALSE;1999;pop, R&B;70;;;;;;;;
77;Céline Dion;That's the Way It Is;241;FALSE;1999;pop;64;;;;;;;;
78;3 Doors Down;Kryptonite;234;FALSE;2000;pop, rock, metal;78;;;;;;;;
79;Carl Thomas;I Wish;227;FALSE;2000;pop, R&B;52;;;;;;;;
80;Mystikal;Shake Ya Ass;257;TRUE;2000;hip hop, pop;57;;;;;;;;
81;Fuel;Hemorrhage (In My Hands);237;FALSE;2000;rock, pop, metal;49;;;;;;;;
82;Donell Jones;Where I Wanna Be;254;FALSE;1999;pop, R&B;57;;;;;;;;
83;Savage Garden;Crash and Burn;281;FALSE;1999;pop;54;;;;;;;;
84;Westlife;My Love;232;FALSE;2000;pop;68;;;;;;;;
85;All Saints;Pure Shores;269;FALSE;2000;pop;62;;;;;;;;
86;Destiny's Child;Independent Women, Pt. 1;221;FALSE;2001;pop, R&B;65;;;;;;;;
87;*NSYNC;It's Gonna Be Me;191;FALSE;2000;pop;60;;;;;;;;
88;Erykah Badu;Bag Lady;349;FALSE;2000;hip hop, R&B;54;;;;;;;;
89;Marc Anthony;You Sang To Me;347;FALSE;1999;pop, latin;56;;;;;;;;
90;Matchbox Twenty;Bent;256;FALSE;2000;pop, rock;54;;;;;;;;
91;Gabrielle;Rise;219;FALSE;2001;pop, R&B;60;;;;;;;;
92;Backstreet Boys;Shape of My Heart;230;FALSE;2000;pop;70;;;;;;;;
93;Creed;With Arms Wide Open;275;FALSE;1999;pop, rock, metal;64;;;;;;;;
94;The Corrs;Breathless;208;FALSE;2000;pop, Folk/Acoustic;68;;;;;;;;
95;Joe;I Wanna Know;297;FALSE;2000;pop, R&B;65;;;;;;;;
96;Wheatus;Teenage Dirtbag;242;TRUE;1999;set();71;;;;;;;;
97;Christina Aguilera;Come on over Baby (All I Want Is You) - Radio Version;203;FALSE;1999;pop;64;;;;;;;;
98;Creed;Higher;317;FALSE;1999;pop, rock, metal;69;;;;;;;;
99;Britney Spears;Lucky;206;FALSE;2000;pop;65;;;;;;;;
100;Nelly;Country Grammar (Hot Shit);287;TRUE;2000;hip hop, pop, R&B;68;;;;;;;;
101;Shaggy;It Wasn't Me;228;FALSE;2000;hip hop, pop;76;;;;;;;;
102;Destiny's Child;Survivor;254;FALSE;2001;pop, R&B;70;;;;;;;;
103;Eminem;Stan;404;TRUE;2000;hip hop;83;;;;;;;;
104;Kylie Minogue;Can't Get You out of My Head;231;FALSE;2001;pop, Dance/Electronic;73;;;;;;;;
105;Christina Aguilera;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";265;FALSE;2001;pop;68;;;;;;;;
106;Nelly Furtado;I'm Like A Bird;243;FALSE;2000;hip hop, pop, latin;1;;;;;;;;
107;Shakira;Whenever, Wherever;196;FALSE;2001;pop, latin;74;;;;;;;;
108;Jimmy Eat World;The Middle;166;FALSE;2001;rock, pop;78;;;;;;;;
109;Train;Drops of Jupiter (Tell Me);260;FALSE;2001;pop;77;;;;;;;;
110;Geri Halliwell;It's Raining Men;255;FALSE;2001;pop;62;;;;;;;;
111;Blu Cantrell;Hit 'Em Up Style (Oops!);251;FALSE;2001;pop, R&B;71;;;;;;;;
112;Britney Spears;I'm a Slave 4 U;204;FALSE;2001;pop;69;;;;;;;;
113;Kylie Minogue;In Your Eyes;198;FALSE;2001;pop, Dance/Electronic;62;;;;;;;;
114;Missy Elliott;One Minute Man (feat. Ludacris);253;TRUE;2001;hip hop, pop, R&B;57;;;;;;;;
115;Mary J. Blige;Family Affair;266;FALSE;2001;pop, R&B;76;;;;;;;;
116;Faithless;We Come 1 - Radio Edit;222;FALSE;2015;pop, Dance/Electronic;53;;;;;;;;
117;Limp Bizkit;Rollin' (Air Raid Vehicle);214;TRUE;2000;metal;73;;;;;;;;
118;Lasgo;Something;221;FALSE;2001;pop;65;;;;;;;;
119;iio;Rapture (feat.Nadia Ali);254;FALSE;2006;Dance/Electronic;54;;;;;;;;
120;Emma Bunton;What Took You So Long?;241;FALSE;2001;pop;54;;;;;;;;
121;112;It's Over Now;265;FALSE;2001;hip hop, pop, R&B;57;;;;;;;;
122;Blue;All Rise;224;FALSE;2001;pop;63;;;;;;;;
123;Jessica Simpson;Irresistible;194;FALSE;2001;pop, R&B;43;;;;;;;;
124;Crazy Town;Butterfly;217;FALSE;1999;rock, metal;71;;;;;;;;
125;Michael Jackson;You Rock My World;338;FALSE;2001;pop, R&B;64;;;;;;;;
126;Eve;Let Me Blow Ya Mind;230;TRUE;2001;hip hop, pop, R&B;73;;;;;;;;
127;Jennifer Lopez;Ain't It Funny;246;FALSE;2001;hip hop, pop, R&B;0;;;;;;;;
128;Brandy;Another Day in Paradise - R&B-Version;272;FALSE;2002;hip hop, pop, R&B;50;;;;;;;;
129;Nickelback;How You Remind Me;224;FALSE;2001;rock, metal;78;;;;;;;;
130;Daft Punk;One More Time;320;FALSE;2001;hip hop, Dance/Electronic;76;;;;;;;;
131;Outkast;Ms. Jackson;271;TRUE;2000;hip hop, pop;82;;;;;;;;
132;Fragma;Everytime You Need Me - Radio Version;213;FALSE;2001;pop, Dance/Electronic;50;;;;;;;;
133;Mariah Carey;Loverboy;229;FALSE;2001;pop, R&B;42;;;;;;;;
134;Dido;Thank You;218;FALSE;1999;pop;73;;;;;;;;
135;Joe;Stutter (feat. Mystikal) - Double Take Remix;213;FALSE;2000;pop, R&B;57;;;;;;;;
136;P.O.D.;Youth of the Nation;256;FALSE;2001;rock, metal;69;;;;;;;;
137;Jennifer Lopez;Play;211;TRUE;2001;hip hop, pop, R&B;57;;;;;;;;
138;Missy Elliott;Get Ur Freak On;211;TRUE;2001;hip hop, pop, R&B;68;;;;;;;;
139;Ricky Martin;Nobody Wants to Be Lonely (with Christina Aguilera);253;FALSE;2008;pop, latin;52;;;;;;;;
140;Christina Milian;AM To PM;231;FALSE;2001;hip hop, pop, R&B;60;;;;;;;;
141;Roger Sanchez;Another Chance;453;FALSE;2000;Dance/Electronic;50;;;;;;;;
142;Gorillaz;Clint Eastwood;341;TRUE;2001;hip hop;74;;;;;;;;
143;2Pac;Until The End Of Time;267;TRUE;2001;hip hop;57;;;;;;;;
144;Tamia;Stranger in My House;285;FALSE;2000;pop, R&B;48;;;;;;;;
145;Mary J. Blige;No More Drama;326;FALSE;2001;pop, R&B;61;;;;;;;;
146;Jennifer Lopez;Love Don't Cost a Thing;221;FALSE;2001;hip hop, pop, R&B;67;;;;;;;;
147;Jamiroquai;Little L;295;FALSE;2001;pop;65;;;;;;;;
148;Case;Missing You;285;FALSE;2001;hip hop, pop, R&B;55;;;;;;;;
149;112;Peaches & Cream;193;FALSE;2001;hip hop, pop, R&B;63;;;;;;;;
150;Five;Let's Dance - Radio Edit;219;FALSE;2001;pop;47;;;;;;;;
151;Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];213;FALSE;2001;Dance/Electronic;54;;;;;;;;
152;Alien Ant Farm;Smooth Criminal;209;FALSE;2001;rock, metal;75;;;;;;;;
153;Erick Sermon;Music (feat. Marvin Gaye);223;TRUE;2001;hip hop, pop;57;;;;;;;;
154;D12;Purple Pills;305;TRUE;2001;hip hop, pop, rock;68;;;;;;;;
155;Usher;Pop Ya Collar - Radio Edit;211;FALSE;2016;hip hop, pop, R&B;26;;;;;;;;
156;Madonna;Don't Tell Me;281;FALSE;2000;pop;53;;;;;;;;
157;Blue;If You Come Back;208;FALSE;2001;pop;58;;;;;;;;
158;Atomic Kitten;Eternal Flame - Single Version;196;FALSE;2001;pop;58;;;;;;;;
159;Jagged Edge;Where the Party At (feat. Nelly);233;FALSE;2001;hip hop, pop, R&B;67;;;;;;;;
160;Afroman;Because I Got High;198;TRUE;2001;hip hop;68;;;;;;;;
161;S Club 7;Don't Stop Movin';234;FALSE;2001;pop;63;;;;;;;;
162;Craig David;Fill Me In;257;FALSE;2000;hip hop, pop, R&B;60;;;;;;;;
163;Nelly Furtado;Turn Off The Light;276;FALSE;2000;hip hop, pop, latin;1;;;;;;;;
164;The Supermen Lovers;Starlight - Radio Edit;234;FALSE;2001;Dance/Electronic;61;;;;;;;;
165;Mis-Teeq;All I Want - Sunship Radio Edit;207;FALSE;2004;pop, Dance/Electronic;46;;;;;;;;
166;Jagged Edge;Promise;247;FALSE;2000;hip hop, pop, R&B;56;;;;;;;;
167;S Club 7;Have You Ever;202;FALSE;2001;pop;60;;;;;;;;
168;Enya;Only Time;219;FALSE;2000;World/Traditional, Folk/Acoustic;69;;;;;;;;
169;Faith Hill;There You'll Be;222;FALSE;2001;pop, country;60;;;;;;;;
170;Ronan Keating;Lovin' Each Day;213;FALSE;2000;pop, rock;58;;;;;;;;
171;Destiny's Child;Bootylicious;208;FALSE;2001;pop, R&B;64;;;;;;;;
172;Steps;It's the Way You Make Me Feel;197;FALSE;2000;pop, Dance/Electronic;53;;;;;;;;
173;Sunshine Anderson;Heard It All Before;296;FALSE;2001;pop, R&B;56;;;;;;;;
174;Lenny Kravitz;Again;232;FALSE;2000;rock, pop;68;;;;;;;;
175;Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;162;FALSE;2002;pop;46;;;;;;;;
176;DB Boulevard;Point Of View - Radio Edit;231;FALSE;2018;Dance/Electronic;0;;;;;;;;
177;Janet Jackson;All For You;330;FALSE;2001;pop, R&B;65;;;;;;;;
178;Atomic Kitten;Whole Again;185;FALSE;2001;pop;66;;;;;;;;
